EgoID,AlterID,Completed_1,Completed_2,Completed_3,Completed_4,Completed_5,Completed_6,Completed_7,Completed_8,Rel.type_1,Rel.type_2,Rel.type_3,Rel.type_4,Rel.type_5,Rel.type_6,Rel.type_7,Rel.type_8,NumOfEvents_1,NumOfEvents_2,NumOfEvents_3,NumOfEvents_4,NumOfEvents_5,NumOfEvents_6,NumOfEvents_7,NumOfEvents_8,RelationshipOverTime,TippingPoint
10237,970860,2015-08-06T12:56:11Z,2016-02-05T20:07:41Z,2016-06-26T22:17:59Z,2016-11-01T15:29:04Z,2017-04-10T21:23:55Z,2017-11-15T22:06:52Z,2018-05-01T20:00:49Z,2019-04-16T12:42:13Z,Friend,NA,NA,NA,NA,NA,NA,NA,1087,234,62,216,51,639,425,144,single-desc,NA
10237,794543,2015-08-06T12:56:11Z,2016-02-05T20:07:41Z,2016-06-26T22:17:59Z,2016-11-01T15:29:04Z,2017-04-10T21:23:55Z,2017-11-15T22:06:52Z,2018-05-01T20:00:49Z,2019-04-16T12:42:13Z,Friend,NA,NA,NA,NA,NA,NA,NA,1704,914,570,690,301,96,60,0,single-desc,NA
10237,944646,2015-08-06T12:56:11Z,2016-02-05T20:07:41Z,2016-06-26T22:17:59Z,2016-11-01T15:29:04Z,2017-04-10T21:23:55Z,2017-11-15T22:06:52Z,2018-05-01T20:00:49Z,2019-04-16T12:42:13Z,Friend,NA,NA,NA,NA,NA,NA,NA,1033,551,348,351,271,57,94,70,single-desc,NA
10237,395167,2015-08-06T12:56:11Z,2016-02-05T20:07:41Z,2016-06-26T22:17:59Z,2016-11-01T15:29:04Z,2017-04-10T21:23:55Z,2017-11-15T22:06:52Z,2018-05-01T20:00:49Z,2019-04-16T12:42:13Z,Family,Family,NA,NA,Family,Family,NA,NA,368,34,480,584,522,694,410,212,family-relaxing,7
10237,201164,2015-08-06T12:56:11Z,2016-02-05T20:07:41Z,2016-06-26T22:17:59Z,2016-11-01T15:29:04Z,2017-04-10T21:23:55Z,2017-11-15T22:06:52Z,2018-05-01T20:00:49Z,2019-04-16T12:42:13Z,Friend,NA,NA,NA,NA,NA,NA,NA,1219,303,16,9,4,0,0,0,single-desc,NA
10237,710213,2015-08-06T12:56:11Z,2016-02-05T20:07:41Z,2016-06-26T22:17:59Z,2016-11-01T15:29:04Z,2017-04-10T21:23:55Z,2017-11-15T22:06:52Z,2018-05-01T20:00:49Z,2019-04-16T12:42:13Z,Friend,NA,NA,NA,NA,NA,NA,NA,26,0,0,0,0,0,0,0,single-desc,NA
10237,555957,2015-08-06T12:56:11Z,2016-02-05T20:07:41Z,2016-06-26T22:17:59Z,2016-11-01T15:29:04Z,2017-04-10T21:23:55Z,2017-11-15T22:06:52Z,2018-05-01T20:00:49Z,2019-04-16T12:42:13Z,Friend,NA,NA,NA,NA,NA,NA,NA,88,7,0,0,0,0,0,0,single-desc,NA
10237,715237,2015-08-06T12:56:11Z,2016-02-05T20:07:41Z,2016-06-26T22:17:59Z,2016-11-01T15:29:04Z,2017-04-10T21:23:55Z,2017-11-15T22:06:52Z,2018-05-01T20:00:49Z,2019-04-16T12:42:13Z,Friend,NA,NA,NA,NA,NA,NA,NA,450,113,26,33,108,41,53,0,single-desc,NA
10547,462072,2015-08-28T14:12:18Z,2016-02-22T00:08:12Z,NA,NA,NA,NA,NA,NA,Family,NA,NA,NA,NA,NA,NA,NA,930,1086,0,0,0,0,0,0,single-desc,NA
10547,822283,2015-08-28T14:12:18Z,2016-02-22T00:08:12Z,NA,NA,NA,NA,NA,NA,Friend,NA,NA,NA,NA,NA,NA,NA,3358,2302,0,0,0,0,0,0,single-desc,NA
