EgoID,AlterID,Completed_1,Completed_2,Completed_3,Completed_5,Completed_6,Rel.type_1,Rel.type_2,Rel.type_3,Rel.type_5,Rel.type_6,NumOfEvents_1,NumOfEvents_2,NumOfEvents_3,NumOfEvents_5,NumOfEvents_6,RelationshipOverTime,TippingPoint
10060,108701,2011-08-16,2012-01-29,2012-05-17,2013-01-20,2013-05-09,NA,NA,NA,NA,Parent,0,0,21,0,0,single-desc,NA
10060,110941,2011-08-16,2012-01-29,2012-05-17,2013-01-20,2013-05-09,Other family,Other family,Other family,Other family,Other family,1,7,37,25,0,family-stable,NA
10060,140654,2011-08-16,2012-01-29,2012-05-17,2013-01-20,2013-05-09,Friend,Friend,Friend,NA,NA,14,7,8,0,0,friendship-relaxing,5
10060,143439,2011-08-16,2012-01-29,2012-05-17,2013-01-20,2013-05-09,Parent,Parent,Parent,Parent,Parent,157,58,276,118,1,family-stable,NA
10060,115799,2011-08-16,2012-01-29,2012-05-17,2013-01-20,2013-05-09,Other family,Other family,Other family,Other family,NA,0,9,11,0,0,family-relaxing,6
10060,161286,2011-08-16,2012-01-29,2012-05-17,2013-01-20,2013-05-09,Friend,Friend,Friend,NA,Friend,95,0,0,0,0,friendship-stable,NA
10060,167429,2011-08-16,2012-01-29,2012-05-17,2013-01-20,2013-05-09,NA,Co-worker,NA,Co-worker,Co-worker,15,22,74,70,0,coworking-stable,NA
10060,132078,2011-08-16,2012-01-29,2012-05-17,2013-01-20,2013-05-09,NA,NA,Friend,NA,Friend,52,119,426,302,4,friendship-stable,NA
10060,176536,2011-08-16,2012-01-29,2012-05-17,2013-01-20,2013-05-09,NA,Friend,Friend,Friend,Friend,786,705,364,70,8,friendship-stable,NA
10060,143943,2011-08-16,2012-01-29,2012-05-17,2013-01-20,2013-05-09,Parent,Parent,Parent,Parent,Parent,420,222,488,401,0,family-stable,NA
10060,171203,2011-08-16,2012-01-29,2012-05-17,2013-01-20,2013-05-09,Sibling,Sibling,Sibling,Sibling,Sibling,191,86,470,288,0,family-stable,NA
10060,120230,2011-08-16,2012-01-29,2012-05-17,2013-01-20,2013-05-09,Other family,Other family,NA,Other family,Other family,42,0,84,16,0,family-stable,NA
10281,177461,2011-08-15,2012-02-10,2012-05-14,2013-01-25,2013-05-04,NA,NA,NA,NA,Friend,23,39,107,6,14,single-desc,NA
10281,191894,2011-08-15,2012-02-10,2012-05-14,2013-01-25,2013-05-04,NA,NA,NA,NA,NA,0,7,34,0,76,all-NAs,NA
10281,191753,2011-08-15,2012-02-10,2012-05-14,2013-01-25,2013-05-04,NA,NA,NA,Parent,NA,461,271,777,126,960,single-desc,NA
10281,163051,2011-08-15,2012-02-10,2012-05-14,2013-01-25,2013-05-04,Other family,Other family,Other family,Other family,Other family,62,21,106,21,147,family-stable,NA
