SenderID;ReceiverID;EventTime
11023;127838;2011-08-21 00:02:35
11023;148720;2011-08-21 00:03:24
127838;11023;2011-08-21 00:51:37
148720;11023;2011-08-21 00:58:07
11023;127838;2011-08-21 00:59:12
127838;11023;2011-08-21 01:15:16
11023;109733;2011-08-21 02:11:47
11023;876290;2011-08-21 02:12:58
11023;109733;2011-08-21 02:18:47
11023;109733;2011-08-21 02:19:59
109733;11023;2011-08-21 04:03:43
11023;156550;2011-08-21 04:06:49
156550;11023;2011-08-21 04:11:03
11023;156550;2011-08-21 04:12:24
156550;11023;2011-08-21 04:19:50
11023;279311;2011-08-21 04:52:43
11023;157480;2011-08-21 04:53:06
11023;28831;2011-08-21 04:53:35
156550;11023;2011-08-21 05:02:11
11023;109733;2011-08-21 05:24:46
28831;11023;2011-08-21 06:00:52
127838;11023;2011-08-21 15:30:13
11023;127838;2011-08-21 15:39:05
11023;148720;2011-08-21 15:39:50
156550;11023;2011-08-21 17:28:04
11023;127838;2011-08-21 19:24:05
127838;11023;2011-08-21 19:28:18
148720;11023;2011-08-21 21:12:10
11023;148720;2011-08-21 22:27:57
11023;109733;2011-08-21 22:28:18
11023;876290;2011-08-21 22:29:14
11023;876290;2011-08-21 22:30:03
11023;168149;2011-08-21 22:31:01
11023;156550;2011-08-21 23:04:50
11023;156550;2011-08-21 23:06:50
156550;11023;2011-08-22 00:57:10
11023;392892;2011-08-22 02:56:24
11023;392892;2011-08-22 02:56:52
392892;11023;2011-08-22 02:57:14
156550;11023;2011-08-22 13:05:44
11023;109733;2011-08-22 14:54:05
11023;156550;2011-08-22 14:59:15
11023;156550;2011-08-22 15:52:18
11023;156550;2011-08-22 15:59:46
156550;11023;2011-08-22 16:03:56
156550;11023;2011-08-22 16:07:41
11023;876290;2011-08-22 16:20:30
11023;274322;2011-08-22 17:11:00
1009;11023;2011-08-22 17:11:10
11023;274322;2011-08-22 17:12:32
1009;11023;2011-08-22 17:12:42
124676;11023;2011-08-22 19:00:14
11023;124676;2011-08-22 19:47:57
145547;11023;2011-08-22 20:04:29
