EgoID,AlterID,Completed_1,Completed_2,Completed_3,Completed_5,Completed_6,Rel.type_1,Rel.type_2,Rel.type_3,Rel.type_5,Rel.type_6,NumOfEvents_1,NumOfEvents_2,NumOfEvents_3,NumOfEvents_5,NumOfEvents_6,RelationshipOverTime,TippingPoint,before.NLL,after.NLL,before.K,before.c,before.theta,after.K,after.c,after.theta
10060,140654,2011-08-16,2012-01-29,2012-05-17,2013-01-20,2013-05-09,Friend,Friend,Friend,NA,NA,14,7,8,0,0,friendship-relaxing,5,18.7381625,2.8467333333333333,10000,2.01371,9.97864,0.126115,0.0621868,0.416116
10060,115799,2011-08-16,2012-01-29,2012-05-17,2013-01-20,2013-05-09,Other family,Other family,Other family,Other family,NA,0,9,11,0,0,family-relaxing,6,3.234508333333333,0.18069999999999453,0.0809862,0.0175305,0.310261,0.0788618,0.0109761,0.169237
10281,194483,2011-08-15,2012-02-10,2012-05-14,2013-01-25,2013-05-04,Friend,Friend,NA,NA,NA,142,104,0,0,0,friendship-relaxing,3,NA,NA,NA,NA,NA,NA,NA,NA
10281,149225,2011-08-15,2012-02-10,2012-05-14,2013-01-25,2013-05-04,NA,Friend,Friend,NA,NA,17,16,42,1,25,friendship-relaxing,5,4.299194117647059,4.612860465116279,0.0654716,0.00920886,0.109272,0.0511843,0.00279871,0.0837385
10281,189557,2011-08-15,2012-02-10,2012-05-14,2013-01-25,2013-05-04,NA,Friend,Friend,Friend,NA,137,83,220,34,238,friendship-relaxing,6,1.3836877828054297,3.6761142857142852,0.0684821,0.00525271,0.15241,0.0713711,0.00647398,0.159276
10281,153179,2011-08-15,2012-02-10,2012-05-14,2013-01-25,2013-05-04,Other family,NA,Other family,NA,NA,12,10,56,3,14,family-relaxing,5,2.964727272727272,1.9127333333333334,0.085374,0.01748,0.169556,0.0781907,0.0137567,0.146523
10281,179601,2011-08-15,2012-02-10,2012-05-14,2013-01-25,2013-05-04,NA,Friend,Friend,Friend,NA,393,423,649,75,174,friendship-relaxing,6,0.8850861538461537,2.97671052631579,0.0776144,0.00954295,0.176012,0.0823287,0.0117431,0.202478
10353,122333,2011-08-17,2012-02-11,2012-05-09,NA,NA,Significant other,NA,Friend,NA,NA,6320,106,287,0,0,romantic-relaxing,3,NA,NA,NA,NA,NA,NA,NA,NA
10841,148061,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,Friend,Friend,Friend,Significant other,Significant other,243,611,1133,365,1620,romantic-strengthening,5,0.634576797385621,1.0511146384479717,0.0770914,0.00847806,0.204057,0.0829119,0.011862,0.217903
10841,118001,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,Friend,Friend,NA,NA,NA,184,188,166,53,228,friendship-relaxing,3,NA,NA,NA,NA,NA,NA,NA,NA
10841,183998,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,Friend,Friend,Friend,NA,NA,96,177,180,34,52,friendship-relaxing,5,1.118685393258427,1.4203370165745857,0.0710327,0.0059554,0.1679,0.0730166,0.00686979,0.171832
11023,145547,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,Friend,Friend,Friend,NA,NA,121,61,101,63,0,friendship-relaxing,5,0.232951612903226,0.5972941176470589,0.0838135,0.0125028,0.241787,0.0825073,0.0122257,0.264562
11023,168149,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,Friend,Friend,Friend,NA,NA,52,22,37,0,0,friendship-relaxing,5,2.662173913043478,3.0478157894736846,0.0844718,0.0451759,0.124038,0.073925,0.018962,0.118061
11023,147795,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,NA,Friend,Friend,NA,NA,492,183,3,0,0,friendship-relaxing,5,0.4954891304347827,6.004000000000005,0.0759855,0.00789218,0.206415,0.0762809,0.00814632,0.223235
